"","businesses.rating","businesses.name","businesses.is_closed","businesses.review_count","latitude","longitude","arts"
"1",5,"Chaiyo Muaythai",FALSE,21,37.934716,-122.324381,"Muay Thai"
"2",5,"Dragon's Martial Arts",FALSE,7,37.9714697599411,-122.28805527091,"Martial Arts"
"3",5,"Chinese Martial Arts",FALSE,7,37.98101,-122.332596,"Martial Arts"
"4",5,"Omni Movement",FALSE,19,37.915162,-122.359053,"Trainers |&| Brazilian Jiu-jitsu |&| Kickboxing"
"5",5,"Anouphab Mud Muay Thai Lao Academy",FALSE,3,37.9351048501723,-122.342638359996,"Martial Arts |&| Boxing |&| Trainers"
"6",5,"Shotokan Karate Institute",FALSE,4,37.8989832,-122.3102916,"Karate"
"7",5,"Cal-West Karate School",FALSE,8,37.9345045,-122.3244763,"Karate"
"8",5,"Elite Team East Bay Jiu Jitsu",FALSE,3,37.9317368,-122.3238664,"Brazilian Jiu-jitsu"
"9",5,"Okinawa Karate Academy",FALSE,8,37.9847782,-122.3324698,"Martial Arts"
"10",4.5,"El Cerrito Martial Arts",FALSE,21,37.908016204834,-122.30591583252,"Martial Arts |&| Sports Clubs"
"11",5,"Krav Maga Xtreme",FALSE,33,37.8796699305955,-122.298928519821,"Brazilian Jiu-jitsu |&| Karate |&| Cardio Classes"
"12",5,"Dumlao's Academy of Martial Arts",FALSE,9,38.00537,-122.30541,"Martial Arts"
"13",5,"LCCT San Pablo",FALSE,3,37.95757,-122.34695,"Martial Arts"
"14",5,"Karatedo Shinyokai",FALSE,7,37.9038892411065,-122.291664620182,"Karate"
"15",5,"Solis Martial Arts",FALSE,22,38.010938,-122.270363,"Martial Arts"
"16",5,"Capoeira Brasil Richmond",FALSE,3,37.9318429,-122.3241594,"Martial Arts"
"17",5,"Marin Karate Kids",FALSE,18,37.92245,-122.51171,"Kickboxing |&| Brazilian Jiu-jitsu"
"18",4.5,"TG Taekwondo",FALSE,8,37.8914839,-122.2989012,"Taekwondo"
"19",5,"West America Tae Kwon Do",FALSE,14,37.907814,-122.523002,"Taekwondo"
"20",4.5,"Berkeley Martial Arts",FALSE,14,37.86254,-122.2815,"Martial Arts"
"21",5,"Wen Wu School of Martial Arts",FALSE,6,37.9027633666992,-122.303192138672,"Martial Arts |&| Acupuncture"
"22",4.5,"East Bay Seido Karate",FALSE,19,37.8721790760756,-122.271982803941,"Karate"
"23",4.5,"Golden Lion Martial Arts Academy",FALSE,16,37.88555,-122.29722,"Martial Arts"
"24",4.5,"East Bay Judo Institute",FALSE,5,37.9190368652344,-122.314414978027,"Martial Arts"
"25",4.5,"Sennin Foundation Center for Japanese Cultural Arts",FALSE,10,37.8847998,-122.2970288,"Martial Arts |&| Yoga"
"26",5,"Hanabi Judo",FALSE,20,37.89073,-122.29884,"Martial Arts |&| Summer Camps"
"27",5,"Berkeley Muay Thai & Fitness",FALSE,27,37.863769,-122.2903213,"Martial Arts"
"28",5,"Mojo Dojo Karate",FALSE,6,37.881264,-122.52507,"Karate"
"29",4.5,"SBG NorCal",FALSE,47,37.8769435,-122.2948993,"Boxing |&| Brazilian Jiu-jitsu |&| Kickboxing"
"30",4.5,"Shaolin Martial Arts Center",FALSE,8,37.86851,-122.50301,"Chinese Martial Arts"
"31",4,"SAMA Academy of Martial Arts",FALSE,19,37.9954596,-122.2858644,"Martial Arts"
"32",5,"Eskabo Daan Filipino Martial Arts",FALSE,60,37.79028,-122.4209,"Self-defense Classes |&| Boxing |&| Brazilian Jiu-jitsu"
"33",5,"Wushu West",FALSE,39,37.8114473434738,-122.261313954368,"Tai Chi |&| Chinese Martial Arts"
"34",4.5,"Performance Fitness & MMA",FALSE,6,37.8953,-122.30908,"Gyms |&| Martial Arts"
"35",5,"Hilltop Family Acupuncture",FALSE,28,37.977616,-122.3292634,"Acupuncture |&| Tui Na |&| Qi Gong"
"36",5,"Yee's Martial Arts Academy",FALSE,7,38.020801,-122.261772,"Martial Arts"
"37",5,"Lamorinda Martial Arts Studio",FALSE,3,37.880191,-122.185752,"Martial Arts"
"38",5,"Hercules Brazilian Jiu Jitsu",FALSE,5,38.019798,-122.273582,"Martial Arts"
"39",5,"International Academy of WingChun",FALSE,6,37.86973,-122.28463,"Self-defense Classes"
"40",4.5,"Bay Jiu-Jitsu",FALSE,16,37.86447,-122.25821,"Brazilian Jiu-jitsu"
"41",5,"Benicia Boxing & Martial Arts",FALSE,11,38.0788334,-122.1904165,"Martial Arts"
"42",5,"Aikido Shusekai",FALSE,27,37.8599300980568,-122.292723655701,"Martial Arts"
"43",5,"San Rafael Martial Arts",FALSE,5,37.9727243303346,-122.525315295701,"Martial Arts |&| Tai Chi"
"44",5,"Aikido of Berkeley",FALSE,8,37.8703793138266,-122.28145301342,"Martial Arts"
"45",5,"Soja Mind Body",FALSE,52,37.85189,-122.28614,"Martial Arts |&| Yoga"
"46",5,"Wu Wei Tao Kung Fu",FALSE,3,37.8604006,-122.2905794,"Martial Arts"
"47",5,"Emeryville Martial Arts",FALSE,11,37.8361893,-122.2813416,"Martial Arts"
"48",4.5,"West Wind Schools",FALSE,12,37.8667489,-122.2916411,"Martial Arts |&| Tai Chi"
"49",4.5,"Bay Area Martial Arts",FALSE,24,37.8168089,-122.2455099,"Martial Arts |&| Summer Camps"
"50",5,"ABADA CAPOEIRA MARIN",FALSE,3,37.9564,-122.50562,"Dance Studios |&| Martial Arts |&| Art Schools"
