"","businesses.rating","businesses.name","businesses.is_closed","businesses.review_count","latitude","longitude","arts"
"1",5,"Family Martial Arts Center",FALSE,9,38.44744,-122.73305,"Martial Arts"
"2",5,"Empower Academy of Self Defense",FALSE,2,38.4607884999278,-122.722063846886,"Self-defense Classes |&| Martial Arts"
"3",5,"PHAS3 Training Center",FALSE,6,38.453044,-122.670651,"Martial Arts"
"4",5,"International Budo Academy Of The Martial Arts",FALSE,3,38.4682,-122.74427,"Martial Arts"
"5",4.5,"Jeff Speakman's Kenpo 5.0 North Bay Martial Arts",FALSE,8,38.41238,-122.71276,"Martial Arts |&| Boxing"
"6",5,"Brazilian Academy of Mixed Martial Arts",FALSE,10,38.395603,-122.714782,"Martial Arts"
"7",4,"Shotokan Karate Leadership School",FALSE,9,38.46576,-122.7509951,"Karate"
"8",5,"Honshin Kan Martial Arts",FALSE,2,38.4641722,-122.6652809,"Martial Arts"
"9",3.5,"Nor Cal Fighting Alliance",FALSE,8,38.4720713055015,-122.735560160548,"Boxing |&| Kickboxing |&| Brazilian Jiu-jitsu"
"10",4.5,"Segal's ATA Martial Arts",FALSE,6,38.4418144226074,-122.696571350098,"Martial Arts"
"11",5,"Shining Together Judo",FALSE,6,38.4641722,-122.6652809,"Martial Arts"
"12",5,"Chang's Tae Kwon DO",FALSE,1,38.457252,-122.672004,"Taekwondo"
"13",4,"Ignite Martial Arts",FALSE,9,38.44136,-122.74467,"Martial Arts"
"14",5,"Porters Martial Arts Academy",FALSE,1,38.4538073837757,-122.717366963625,"Martial Arts"
"15",5,"Capoeira CDO North Bay",FALSE,3,38.4418587,-122.7162241,"Martial Arts"
"16",5,"Redwood Coast Judo",FALSE,4,38.47632,-122.73711,"Martial Arts"
"17",5,"Ringtime Fitness",FALSE,5,38.4405922,-122.7244442,"Boxing |&| Kickboxing"
"18",5,"Aikido New School",FALSE,1,38.4718918,-122.7343561,"Martial Arts"
"19",5,"Hauth's Family Taekwondo",FALSE,10,38.54344,-122.80124,"Taekwondo"
"20",5,"West County Martial Arts & Fitness",FALSE,1,38.40495,-122.82901,"Martial Arts |&| Day Camps"
"21",5,"Kuk Sool Won",FALSE,4,38.3549270629883,-122.706581115723,"Martial Arts"
"22",5,"Eagle After School Martial Arts Program",FALSE,1,38.50905,-122.7594,"Martial Arts"
"23",5,"KO Yoga and Fitness",FALSE,4,38.441814,-122.696571,"Yoga |&| Kickboxing"
"24",5,"Martial Arts Revelation",FALSE,2,38.5016831535813,-122.751487370594,"Martial Arts"
"25",4,"Elite Martial Arts",FALSE,5,38.35439,-122.714663,"Martial Arts |&| Trainers |&| Gyms"
"26",5,"Martial Arts Academy",FALSE,2,38.3372235,-122.6989335,"Martial Arts"
"27",5,"Full Circle Muay Thai",FALSE,3,38.3284,-122.70563,"Muay Thai"
"28",4.5,"Gracie Barra Rohnert Park",FALSE,14,38.338204,-122.685839,"Martial Arts"
"29",5,"Next Level Judo",FALSE,2,38.4051063285049,-122.828976312189,"Martial Arts"
"30",5,"West County Brazilian Jiu Jitsu",FALSE,1,38.4019021,-122.823908,"Martial Arts"
"31",5,"Elevate Fitness & Martial Arts",FALSE,7,38.3336038,-122.7122153,"Martial Arts"
"32",5,"CrossFit Force",FALSE,4,38.51646,-122.79977,"Interval Training Gyms"
"33",5,"Shugyo Center",FALSE,1,38.3756435,-122.7918902,"Martial Arts"
"34",5,"Martial Arts Revelation",FALSE,1,38.5489733,-122.8171411,"Martial Arts"
"35",3,"Kuma Kai Aikido",FALSE,2,38.3925171,-122.8172891,"Martial Arts"
"36",3,"Santa Rosa Gymnastic Center",FALSE,14,38.46547,-122.7433,"Trainers"
"37",4,"Parkpoint Health Club",FALSE,42,38.4478495,-122.7312731,"Gyms"
"38",5,"Flying Frog Academy",FALSE,5,38.3579602,-122.7095083,"Gyms |&| Recreation Centers |&| Party & Event Planning"
"39",5,"SoCo Aerial Collective",FALSE,2,38.4048389181085,-122.828920864039,"Aerial Fitness"
"40",5,"Powerfit Personal Training",FALSE,26,38.3448905944824,-122.709968566895,"Trainers |&| Gyms"
"41",4.5,"Crossfit Rohnert Park",FALSE,3,38.354085534811,-122.71365813911,"Interval Training Gyms"
"42",3.5,"24 Hour Fitness - Rohnert Park",FALSE,119,38.346677,-122.711177,"Gyms |&| Trainers"
